ID_Original,ID_Interno,Nombre,Descripcion_Resumida,Categoria,Sistemas_Involucrados,Archivos_Involucrados,Prefabs_Escenas,Estado_Actual,Evidencia_Encontrada,Prueba_Realizada,Resultado_Prueba,Errores_Detectados,Que_Falta,Prioridad,Riesgo,Siguiente_Accion
RQNF7,RQNF7_ValidarRecursos,"Validar recursos antes de cualquier acción","Fondos/puntos suficientes para expansión/compra/contratación/desbloqueo",General,"StoreDatabase, EntrepreneurTreeManager, SupermarketExpansionSystem","StoreDatabase.cs, EntrepreneurTreeManager.cs, SupermarketExpansionSystem.cs","Game.unity",PARCIAL,"CanPurchase/CanUnlockNode implementados en todos los sistemas","No Play Mode","Sin Play Mode real","No verificado en todos los casos límite",Play Mode: probar cada acción sin recursos,ALTA,MEDIA,"Play Mode: probar cada sistema sin fondos/puntos"
RQNF8,RQNF8_EstadoNodosArbol,"Estado correcto de nodos durante toda la partida","Nodos muestran bloqueado/disponible/desbloqueado correctamente; persistente",Arbol,"EntrepreneurTreeManager, UpgradesUIController","EntrepreneurTreeManager.cs, UpgradesUIController.cs, EntrepreneurTreeSaveIntegration.cs","Game.unity",PARCIAL,"Estados gestionados por EntrepreneurTreeManager; UI actualizada en BuildTree; save/load de estados","No Play Mode","Sin Play Mode real","No verificado persistencia de estados tras guardar/cargar",Play Mode: desbloquear nodo; guardar/cargar; verificar estados correctos en UI,ALTA,MEDIA,"Play Mode: verificar estados de nodos tras guardar/cargar"
RQNF9,RQNF9_NoProdSinArbol,"No activar sin nodo desbloqueado","Todas las validaciones de desbloqueo centralizadas en árbol",Arbol,"EntrepreneurTreeManager, todos los adapters","EntrepreneurTreeManager.cs, EntrepreneurTreeProductUnlockAdapter.cs, EntrepreneurTreeEmployeeUnlockAdapter.cs, EntrepreneurTreeSecurityAdapter.cs","Game.unity",PARCIAL,"IsUnlocked verificado en todos los adapters","No Play Mode","Sin Play Mode real","No verificado en ejecución",Play Mode: confirmar que nada se activa sin desbloquear nodo árbol,ALTA,MEDIA,"Play Mode: intentar usar empleado/seguridad bloqueado"
RQNF10,RQNF10_ProbabilidadTiempoReal,"Calcular probabilidad en tiempo real al cambiar precio","Actualización inmediata en UI y cliente",Precios,"ProductPricingSystem, PricingAppUIController","ProductPricingSystem.cs, PricingAppUIController.cs","Game.unity",PARCIAL,"onPriceChanged event; RefreshRow escucha y recalcula; ShelfProductInfoLabel también escucha","No Play Mode","Sin Play Mode real","No verificado que actualización sea inmediata en tiempo real",Play Mode: abrir app Precios; mover slider; verificar probabilidad cambia inmediatamente,ALTA,MEDIA,"Play Mode: editar precio y verificar actualización inmediata"
RQNF11,RQNF11_UIPrecios,"UI de precios muestra precio ideal/actual/prob/extra","Interfaz clara con valores visibles",UI,"PricingAppUIController","PricingAppUIController.cs","Game.unity",PARCIAL,"RefreshRow muestra ideal/actual/prob/extra en columnas","No Play Mode","Sin Play Mode real","No verificado visualmente en ejecución",Play Mode: abrir UI Precios y verificar todos los valores,ALTA,MEDIA,"Play Mode: abrir app Precios"
RQNF12,RQNF12_LimitesPrecio,"Precio en límites $0 a 300% del ideal","Validación activa; rechazo con mensaje si fuera de límites",Precios,"ProductPricingSystem, PricingAppUIController","ProductPricingSystem.cs, PricingAppUIController.cs","Game.unity",PARCIAL,"GetMaxAllowedPrice=3×ideal; TrySetCurrentPrice valida min=0 y max; mensaje de error","No Play Mode","Sin Play Mode real","No verificado con entradas inválidas en UI",Play Mode: intentar precio >300% y <0 en UI,MEDIA,MEDIA,"Play Mode: intentar ingresar precio fuera de límites"
RQNF13,RQNF13_MensajePrecioBajo,"Comunicar que precio bajo aumenta venta extra","UI indica que precio<ideal habilita venta extra",UI,"PricingAppUIController","PricingAppUIController.cs","Game.unity",PARCIAL,"RefreshRow muestra Pextra en columna; implícito que extra>0 cuando bajo","No Play Mode","Sin Play Mode real","No verificado si hay mensaje explícito para precio bajo",Play Mode: poner precio bajo; verificar mensaje en UI,MEDIA,BAJA,"Play Mode: verificar mensaje o etiqueta al poner precio bajo"
RQNF14,RQNF14_MensajePrecioAlto,"Retroalimentación de precio alto baja probabilidad","UI indica precio>ideal reduce probabilidad",UI,"PricingAppUIController","PricingAppUIController.cs","Game.unity",PARCIAL,"Prob baja en columna cuando precio alto; implícito","No Play Mode","Sin Play Mode real","No verificado si hay indicador explícito",Play Mode: poner precio alto; verificar indicador de baja probabilidad,MEDIA,BAJA,"Play Mode: verificar indicador precio alto"
RQNF15,RQNF15_PrecioCeroIndicacion,"Precio $0.00 permite pero indica sin ingreso","UI debe indicar que $0.00 no genera ingresos directos",UI,"PricingAppUIController, CashDesk","PricingAppUIController.cs, CashDesk.cs","Game.unity",PARCIAL,"RegisterZeroPriceSale en CashDesk; UI no tiene indicador explícito de sin ingreso","No Play Mode","Sin Play Mode real","UI posiblemente sin indicador explícito de $0 = sin ingreso",Play Mode: fijar $0.00 y verificar si UI muestra indicación clara,MEDIA,BAJA,"Play Mode: fijar $0.00 y verificar mensaje/indicador en UI"
RQNF16,RQNF16_UIClara,"UI clara/intuitiva con textos comprensibles","Botones/menús/notificaciones comprensibles; identificación rápida de acciones",UI,"ComputerUITheme, todos los UIControllers","ComputerUITheme.cs, todos los AppControllers","Game.unity",PARCIAL,"ComputerUITheme centraliza colores/fuentes; apps usan tema consistente; no Unicode raro por defecto","No Play Mode","Sin Play Mode real","No verificado visualmente en ejecución; botón Licenses puede seguir visible si texto difiere",Play Mode: navegar por todas las apps de la computadora y verificar UI,MEDIA,MEDIA,"Play Mode: navegar apps computadora; verificar sin texto cortado/encimado"
RQNF17,RQNF17_Notificaciones,"Notificaciones visibles y específicas","Mensajes indicando qué ocurrió/rechazó/falta; no genéricos",UI,"UIGame, ShoplifterSystem, EntrepreneurTreeManager, DeliverySystem","UIGame.cs, ShoplifterSystem.cs, EntrepreneurTreeManager.cs, DeliverySystem.cs","Game.unity",PARCIAL,"DeliverySystem mejorado en este lote con mensajes específicos; UIGame.ShowMessage disponible","No Play Mode","Sin Play Mode real","No verificado en ejecución que todos los mensajes sean específicos",Play Mode: provocar errores y verificar mensajes específicos,MEDIA,MEDIA,"Play Mode: comprar sin fondos; desbloquear sin prerrequisito; verificar mensajes"
RQNF18,RQNF18_ConsistenciaVisual,"Estructura visual consistente entre apps","Compra/Espacios/Empleados/Árbol con colores/fuentes/layout consistentes",UI,"ComputerUITheme, todos los AppControllers","ComputerUITheme.cs","Game.unity",PARCIAL,"ComputerUITheme.cs centraliza tokens de diseño; apps usan helpers del tema","No Play Mode","Sin Play Mode real","No verificado visualmente en ejecución",Play Mode: navegar por todas las apps y verificar consistencia visual,MEDIA,MEDIA,"Play Mode: comparar visual entre Árbol/Empleados/Expansión/Precios"
RQNF19,RQNF19_OpcionesAjuste,"Menú de ajustes: resolución/volumen/brillo/controles","Opciones básicas guardadas y restauradas",Ajustes,"UISettings","UISettings.cs","Intro.unity o Game.unity",PARCIAL,"UISettings.cs con slider de volumen y persistencia JSON; cubre volumen","No Play Mode","Sin Play Mode","Resolución/brillo/controles no verificados","Abrir Intro.unity; verificar panel Ajustes; ampliar UISettings si faltan campos",BAJA,BAJA,"Abrir Intro.unity Inspector; buscar UISettings; verificar campos"
RQNF20,RQNF20_Instrucciones,"Instrucciones claras de mecánicas principales","Tutorial/instrucciones de compra/estantes/precios/caja/contratación/seguridad",UI,"TutorialSystem, UITutorial","TutorialSystem.cs, UITutorial.cs, TutorialScriptableObject.cs","Game.unity o Intro.unity",PARCIAL,"TutorialSystem y UITutorial existen; TutorialScriptableObject para contenido","No Play Mode","Sin Play Mode real","No verificado si tutorial cubre todas las mecánicas listadas",Play Mode: verificar si tutorial se ejecuta al inicio y cubre mecánicas principales,BAJA,BAJA,"Play Mode: verificar tutorial al inicio del juego"
